bid;bname;blang;auth_id;auth_name;sid;sub;cat
40325;True to a Type- Vol. 2 (of 2);en;657;Cleland| Robert;657;Literary;
40347;The Coward Behind the Curtain;en;658;Marsh| Richard;658;Literary;
40348;The Crime and the Criminal;en;659;Marsh| Richard;659;Detective and Mystery;
40353;The Datchet Diamonds;en;6257;Wood, Stanley L.;85;Detective and mystery ;LCSH
40386;Wandering Ghosts;en;814;Crawford, F. Marion (Francis Marion);1656;Horror;LCSH
40416;The Rest Hollow Mystery;en;14409;Porter, Rebecca N. (Rebecca Newman);85;Detective and mystery ;LCSH
40418;It May Be True- Vol. 1 (of 3);en;660;Wood| Mrs. Henry;660;Literary;
40431;Miss Hildreth: A Novel- Volume 1;en;661;Stevens| Augusta de Grasse;661;Literary;
40432;Miss Hildreth: A Novel- Volume 2;en;662;Stevens| Augusta de Grasse;662;Literary;
40433;Miss Hildreth: A Novel- Volume 3;en;663;Stevens| Augusta de Grasse;663;Literary;
40449;The Woman with One Hand, and Mr. Ely's Engagement;en;6257;Wood, Stanley L.;85;Detective and mystery ;LCSH
40450;Violet Forster's Lover;en;664;Marsh| Richard;664;Literary;
40451;Under One Flag;en;665;Marsh| Richard;665;Literary;
40452;The Twickenham Peerage;en;666;Marsh| Richard;666;Literary;
40453;Tom Ossington's Ghost;en;4707;Marsh, Richard;85;Detective and mystery ;LCSH
40484;Black Star's Campaign: A Detective Story;en;668;McCulley| Johnston;668;Detective and Mystery;
40491;The Red Lottery Ticket;en;669;Boisgobey| Fortunu;669;Detective and Mystery;
40493;The King of Diamonds: A Tale of Mystery and Adventure;en;670;Tracy| Louis;670;Detective and Mystery;
40495;The Ordeal of Elizabeth;en;671;Anonymous;671;Literary;
40545;The Splendid Fairing;en;672;Holme| Constance;672;Literary;
40593;School-Room Humour;en;7050;Macnamara, T. J. (Thomas James);59;wit and humor;LCSH
40611;Prince Charlie;en;674;Delannoy| Burford;674;Literary;
40651;The Hypocrite;en;675;Thorne| Guy;675;Literary;
40672;The White Virgin;en;676;Fenn| George Manville;676;Literary;
40673;The Tiger Lily;en;677;Fenn| George Manville;677;Literary;
40674;Sawn Off: A Tale of a Family Tree;en;678;Fenn| George Manville;678;Literary;
40702;Gretchen: A Novel;en;679;Holmes| Mary Jane;679;Literary;
40821;Fighting Byng: A Novel of Mystery- Intrigue and Adventure;en;680;Stone| A.;680;Detective and Mystery;
40829;Devil's Dice;en;754;Le Queux, William;85;Detective and mystery ;LCSH
40831;The Wiles of the Wicked;en;754;Le Queux, William;85;Detective and mystery ;LCSH
40833;The Temptress;en;754;Le Queux, William;85;Detective and mystery ;LCSH
40835;The Pauper of Park Lane;en;1683;Merrill, Frank T.;85;Detective and mystery ;LCSH
40836;The Mysterious Three;en;754;Le Queux, William;85;Detective and mystery ;LCSH
40844;The Diva's Ruby;en;580;Flagg, James Montgomery;85;Detective and mystery ;LCSH
40848;The Gully of Bluemansdyke, and Other stories;en;938;Doyle, Arthur Conan;1706;Detective and mystery ;LCSH
40926;Meg- of Valencia;en;682;Jarrell| Myra Williams;682;Literary;
40939;Under Cover;en;8397;Megrue, Roi Cooper;85;Detective and mystery ;LCSH
40997;As We Forgive Them;en;754;Le Queux, William;85;Detective and mystery ;LCSH
40998;The Day of Temptation;en;683;Queux| William Le;683;Literary;
40999;Stolen Souls;en;684;Queux| William Le;684;Literary;
41002;If Sinners Entice Thee;en;754;Le Queux, William;85;Detective and mystery ;LCSH
41003;The Eye of Istar: A Romance of the Land of No Return;en;4613;Pearse, Alfred;85;Detective and mystery ;LCSH
41004;An Eye for an Eye;en;755;Grieffenhagen, Maurice;85;Detective and mystery ;LCSH
41020;Clara Vaughan, Volume 1 (of 3);en;1130;Blackmore, R. D. (Richard Doddridge);85;Detective and mystery ;LCSH
41021;Clara Vaughan, Volume 2 (of 3);en;1130;Blackmore, R. D. (Richard Doddridge);85;Detective and mystery ;LCSH
41022;Clara Vaughan, Volume 3 (of 3);en;1130;Blackmore, R. D. (Richard Doddridge);85;Detective and mystery ;LCSH
41025;Josh Billings on Ice, and Other Things;en;22807;Billings, Josh;1083;wit and humor;LCSH
41089;The Sign of the Stranger;en;685;Queux| William Le;685;Detective and Mystery;
41092;Whatsoever a Man Soweth;en;754;Le Queux, William;85;Detective and mystery ;LCSH
41093;Her Royal Highness: A Romance of the Chancelleries of Europe;en;754;Le Queux, William;85;Detective and mystery ;LCSH
41122;Rayton: A Backwoods Mystery;en;686;Roberts| Theodore Goodridge;686;Literary;
41132;The Bomb-Makers;en;754;Le Queux, William;85;Detective and mystery ;LCSH
41137;Dead Man's Love;en;6987;Gallon, Tom;85;Detective and mystery ;LCSH
41170;Great Ghost Stories;en;8816;French, Joseph Lewis;1656;Horror;LCSH
41185;The Voice from the Void: The Great Wireless Mystery;en;754;Le Queux, William;85;Detective and mystery ;LCSH
41191;Jenifer's Prayer;en;687;Crane| Oliver;687;Literary;
41199;The Great God Gold;en;754;Le Queux, William;85;Detective and mystery ;LCSH
41212;The Eve of All-Hallows- Adelaide of Tyrconnel- v. 1 of 3;en;688;Hartstonge| Matthew Weld;688;Literary;
41247;Ten Thousand a-Year. Volume 3.;en;689;Warren| Samuel;689;Literary;
41284;The Arm-Chair at the Inn;en;690;Smith| Francis Hopkinson;690;Literary;
41313;My Danish Sweetheart: A Novel. Volume 1 of 3;en;691;Russell| William Clark;691;Sea and Adventure;
41314;My Danish Sweetheart: A Novel. Volume 2 of 3;en;692;Russell| William Clark;692;Sea and Adventure;
41315;My Danish Sweetheart: A Novel. Volume 3 of 3;en;693;Russell| William Clark;693;Sea and Adventure;
41329;Mrs. Dorriman: A Novel. Volume 1 of 3;en;694;Chetwynd| Mrs. Henry Wayland;694;Literary;
41330;Mrs. Dorriman: A Novel. Volume 2 of 3;en;695;Chetwynd| Mrs. Henry Wayland;695;Literary;
41331;Mrs. Dorriman: A Novel. Volume 3 of 3;en;696;Chetwynd| Mrs. Henry Wayland;696;Literary;
41332;Ten Thousand a-Year. Volume 2.;en;697;Warren| Samuel;697;Literary;
41339;Mount Royal: A Novel. Volume 1 of 3;en;698;Braddon| M. E.;698;Literary;
41340;Mount Royal: A Novel. Volume 2 of 3;en;699;Braddon| M. E.;699;Literary;
41341;Mount Royal: A Novel. Volume 3 of 3;en;700;Braddon| M. E.;700;Literary;
41374;Mohawks: A Novel. Volume 1 of 3;en;701;Braddon| M. E.;701;Literary;
